time,lat,lon,tavg
11/1/2015,27.812532,-97.395836,19.589844
12/1/2015,27.812532,-97.395836,16.80957
1/1/2016,27.812532,-97.395836,12.990234
2/1/2016,27.812532,-97.395836,16.730469
3/1/2016,27.812532,-97.395836,20.84961
4/1/2016,27.812532,-97.395836,23.110352
5/1/2016,27.812532,-97.395836,26.089844
6/1/2016,27.812532,-97.395836,28.549805
7/1/2016,27.812532,-97.395836,30.5
8/1/2016,27.812532,-97.395836,29.969727
9/1/2016,27.812532,-97.395836,29.169922
10/1/2016,27.812532,-97.395836,25.879883
11/1/2016,27.812532,-97.395836,22.110352
12/1/2016,27.812532,-97.395836,16.54004
1/1/2017,27.812532,-97.395836,16.509766
2/1/2017,27.812532,-97.395836,20.419922
3/1/2017,27.812532,-97.395836,21.379883
4/1/2017,27.812532,-97.395836,23.620117
5/1/2017,27.812532,-97.395836,25.80957
6/1/2017,27.812532,-97.395836,28.990234
7/1/2017,27.812532,-97.395836,29.95996
8/1/2017,27.812532,-97.395836,29.860352
9/1/2017,27.812532,-97.395836,27.820312
10/1/2017,27.812532,-97.395836,23.730469
11/1/2017,27.812532,-97.395836,21.530273
12/1/2017,27.812532,-97.395836,13.879883
1/1/2018,27.812532,-97.395836,11.719727
2/1/2018,27.812532,-97.395836,17.549805
3/1/2018,27.812532,-97.395836,21.379883
4/1/2018,27.812532,-97.395836,21.509766
5/1/2018,27.812532,-97.395836,27.080078
6/1/2018,27.812532,-97.395836,29.320312
7/1/2018,27.812532,-97.395836,29.269531
8/1/2018,27.812532,-97.395836,29.80957
9/1/2018,27.812532,-97.395836,27.870117
10/1/2018,27.812532,-97.395836,23.509766
11/1/2018,27.812532,-97.395836,17.09961
12/1/2018,27.812532,-97.395836,15.379883
1/1/2019,27.812532,-97.395836,14.120117
2/1/2019,27.812532,-97.395836,16.320312
3/1/2019,27.812532,-97.395836,17.799805
4/1/2019,27.812532,-97.395836,22.230469
5/1/2019,27.812532,-97.395836,26.839844
6/1/2019,27.812532,-97.395836,29.5
7/1/2019,27.812532,-97.395836,29.769531
8/1/2019,27.812532,-97.395836,30.759766
9/1/2019,27.812532,-97.395836,29.589844
10/1/2019,27.812532,-97.395836,24.40039
11/1/2019,27.812532,-97.395836,17.330078
12/1/2019,27.812532,-97.395836,15.6796875
